PLATFORM_CODE,PARAMETER_NAME,START_DATE,END_DATE,QUALITY_CODE,COMMENT,DAC
6903754,PSAL,20201224,,3,Uncorrected RBR sensor,BO
6903752,PSAL,20201222,,3,Uncorrected RBR sensor,BO
1902102,PSAL,20240104,,3,Uncorrected RBR sensor,BO
6990518,PSAL,20240104,,3,Uncorrected RBR sensor,BO
1902595,PSAL,20240106,,3,Uncorrected RBR sensor,BO
5906982,PSAL,20240105,,3,Uncorrected RBR sensor,BO
3902496,PSAL,20231115,,3,Uncorrected RBR sensor,BO
6901119,PSAL,20160207,,4,Conductivity sensor problem,BO
3901499,TEMP,20141118,,3,Severe TEMP drift identified by Altimetry QC to be revisited in DMQC,BO
3901956,PSAL,20180415,,4,sensor problem,BO
3901979,PSAL,20181229,,3,likely salinity drift from cycle 109,BO
3901548,PSAL,20190113,,4,symptoms of conductivity sensor failure,BO
3901963,PSAL,20191223,,4,Salinity drift confirmed in DMQC,BO
3901962,PSAL,20190921,,3,Severe PSAL drift,BO
3901955,PSAL,20210616,,4,Drift in salinity sensor,BO
1901909,PSAL,20200601,,3,salty drift suspected,BO
1901912,PSAL,20210304,,3,fresh offset detected,BO
1901867,PSAL,20210308,,3,salty drift detected,BO
3901496,BBP532,20160826,20160827,4,noisy profile,BO
3901496,BBP532,20181001,,4,drift,BO
3901496,BBP700,20141027,20141028,4,saturation/(QC_table_MC.JUL18),BO
3901496,BBP700,20160826,20160827,4,noisy profile,BO
3901496,DOXY,20161201,20190101,4,bad sensor,BO
3901496,DOXY,20191125,,4,drift,BO
3901497,BBP532,20161103,20161104,4,spike profile,BO
3901497,BBP532,20180801,,4,drift,BO
3901497,BBP700,20141026,20141027,4,spike profile,BO
3901497,BBP700,20150121,20150122,4,spike profile,BO
3901497,BBP700,20161103,20161104,4,spike profile,BO
3901497,BBP700,20180801,,4,drift,BO
3901497,CHLA,20141026,20141027,4,spike profile,BO
3901497,CHLA,20180801,,4,drift,BO
3901498,BBP532,20171206,20171207,4,background higher than usual,BO
3901498,BBP532,20180226,20180227,4,spike profile/(QC_table_MC.JUL18),BO
3901498,BBP532,20180805,20180806,4,spike profile/(QC_table_MC.JUL18),BO
3901498,BBP700,20160209,20160210,4,spike profile/(QC_table_MC.JUL18),BO
3901498,BBP700,20171102,20171106,4,noisy profile,BO
3901498,BBP700,20180127,20180128,4,noisy profile,BO
3901499,PSAL,20141118,,3,Severe PSAL drift to be revisited in DMQC,BO
1901851,PSAL,20151009,20160621,3,Severe PSAL sensor issue which self-resolved,BO
3901981,PSAL,20180514,,4,CTD plugs accidentally left on so the salinity is spurious,BO
3901953,PSAL,20180616,,3,Alimeter warnings suggesting salinity drift from cycle 26 onwards,BO
3901949,PSAL,20200129,,3,salinity drift suspected,BO
3901498,BBP700,20180126,20180127,4,noisy profile,BO
3901498,CHLA,20180226,20180227,4,spike profile,BO
3901531,BBP532,20180701,,4,drift,BO
3901531,BBP700,20180204,20180205,4,spike profile,BO
3901531,BBP700,20180719,20180927,4,bad sensor,BO
6901151,BBP532,20131024,,4,bad sensor,BO
6901151,BBP700,20131024,,4,bad sensor,BO
6901151,CHLA,20131024,,4,bad sensor,BO
6901151,DOXY,20140501,,4,drift,BO
6901152,BBP532,20140918,,4,drift/shift/(QC_table_MC.JUL18),BO
6901152,BBP700,20140205,20140216,3,bad sensor,BO
6901152,BBP700,20140918,,4,drift/shift/(QC_table_MC.JUL18),BO
6901152,CHLA,20150701,,4,shift/(QC_table_MC.JUL18),BO
6901174,BBP532,20160320,20160321,4,spike profile,BO
6901174,BBP532,20171002,,4,drift,BO
6901174,BBP700,20150808,20150809,4,spike profile,BO
6901174,BBP700,20160320,20160321,4,spike profile,BO
1901850,PSAL,20150627,,4,conductivity sensor failure,BO
6901168,PSAL,20150709,,3,Salinity sensor problem - routine spiking and resultant improbable density profile,BO
3901496,DOXY,20170708,,4,sensor_issue_metbio007d,BO
6901151,DOXY,20140523,20141022,4,sensor_issue_metbio001b,BO
6901151,DOXY,20141023,20150124,3,sensor_issue_metbio001b,BO
6901151,DOXY,20150125,,4,sensor_issue_metbio001b,BO
3901952,PSAL,20190209,,3,Conductivity sensor drift,BO
6901198,PSAL,20190726,,4,sensor problem,BO
6901211,PSAL,20181115,,3,Bias suggested by Altimetry QC report,BO
3901520,PSAL,20151023,,3,Bias suggested by Altimetry QC report,BO
6903720,PSAL,20200801,,3,Salty drift in salinity sensor,BO
1901866,PSAL,20190529,,4,sensor issue,BO
6901174,BBP700,20170209,20170210,4,spike profile,BO
6901174,BBP700,20171002,,4,drift,BO
6901174,CHLA,20171002,,4,drift,BO
6901180,BBP532,20190301,,4,drift,BO
6901181,BBP532,20200626,20200627,4,bad sensor,BO
6901181,BBP532,20180303,20180304,4,bad sensor,BO
6901181,BBP700,20200626,20200627,3,saturation/(QC_table_MC.JUL18),BO
6901181,BBP700,20200626,20200627,4,bad sensor,BO
6901182,BBP532,20161015,,4,bad sensor,BO
6901182,BBP700,20161015,,4,bad sensor,BO
6901182,CHLA,20161015,,4,bad sensor,BO
6901183,BBP532,20170717,20170718,4,spike profile,BO
6901183,BBP532,20170901,,4,drift,BO
6901183,BBP700,20160815,20160816,4,spike profile,BO
6901183,BBP700,20170722,20170723,4,spike profile,BO
2901905,PSAL,20210914,,3,Suspected drift in PSAL,BO
6901930,PSAL,20210921,,3,Suspected drift in PSAL,BO
6901935,PSAL,20210214,,4,salty drift detected,BO
3902400,PSAL,20211008,,4,salty drift detected,BO
1901941,PSAL,20220701,,3,uncorrected RBR float,BO
3901969,PSAL,20240407,,3,Suspected sensor failure,BO
1901898,PSAL,20240523,,3,salty drift,BO
6901939,PSAL,20240523,,3,salty drift,BO
4903670,PSAL,20240523,,3,salty drift,BO
3901959,PSAL,20240523,,3,salty drift,BO
3901967,PSAL,20240523,,3,salty drift,BO
3901960,PSAL,20240821,,4,suspect sensor drift,BO
3901564,PSAL,20240523,,3,salty drift,BO
6901933,DOXY,20240617,,3,No RTQC applied to DOXY yet,BO
2903942,PSAL,20250222,,3,Uncorrected RBR CTD,BO
5907132,PSAL,20250224,,3,Uncorrected RBR sensor,BO
1901897,PSAL,20241114,,3,suspected salty drift,BO
6904189,PH_IN_SITU_TOTAL,20230817,,4,pH sensor problem,BO
5906986,PSAL,20240702,,3,Uncorrected RBR sensor,BO
6903755,PSAL,20240702,,3,Uncorrected RBR sensor,BO
1902103,PSAL,20240702,,3,Uncorrected RBR sensor,BO
1902104,PSAL,20240702,,3,Uncorrected RBR sensor,BO
3902494,PSAL,20240702,,3,Uncorrected RBR sensor,BO
6990519,PSAL,20240702,,3,Uncorrected RBR sensor,BO
5907048,PSAL,20240702,,3,Uncorrected RBR sensor,BO
6901931,PSAL,20231204,,3,Drift,BO
3901537,PSAL,20240604,,3,suspect salty drift,BO
6901933,PSAL,20240318,,3,DOXY flags,BO
6901931,PSAL,20240530,,4,salty drift,BO
4903670,PSAL,20240530,,4,salty drift,BO
1902724,PSAL,20241112,,3,Uncorrected RBR sensor,BO
6903727,PSAL,20231128,,3,salty drift detected,BO
3901916,PSAL,20231218,,3,salty drift detected,BO
